type,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
        Gasoline and other energy goods,3.4,3.3,2.8,2.6,2.6,2.9,3,3.3,3.5,3.4,3.6,3.8,4.3,3.9,3.3,3.4,4,5.8,6.9,8.2,8.3,8.9,9.6,10.2,10.8,11.3,12.4,13.3,14.2,14.7,15.3,15.8,15.7,16.3,16.9,17.7,19.1,20.7,21.9,23.2,25,26.3,27.6,29.4,34.3,43.8,48,53,57.8,61.5,80.4,101.9,113.4,108.4,106.5,108.2,110.5,91.2,96.4,99.9,110.4,124.2,121.1,125,126.9,129.2,133.4,144.7,147.7,132.4,146.5,184.5,178,167.9,196.4,232.7,283.8,319.7,345.5,391.1,287,336.7,413.8,421.9,421.6,410.9,318.8,287,324,366.7,352.5,258.3,385.7,510.1
        Other nondurable goods,5.3,4.6,4.4,3.6,3.4,3.8,4,4.4,4.8,4.8,5.1,5.4,6.2,7.2,8.4,9.3,10.5,10.9,12.4,13.6,14.1,15.2,16.9,17.8,18.8,18.8,19.9,21.1,22.6,23.6,25.5,27.1,28.6,30.7,32.5,34.5,37.1,40.8,43,46.5,49.5,53.6,55.9,60,65.8,72.1,77.7,85.2,91.5,103.3,116.5,129.3,143.5,154,168.8,184.6,196.9,209.4,225.9,241.4,263.3,283.6,297.1,314.5,331.4,350.6,371.4,395.2,421,451.5,498.3,534.7,564.2,591.7,623.5,658.7,691.8,741.4,772.6,786.9,803.9,828.7,858.7,880.2,903.9,949.4,997.7,1027.8,1060.8,1104.9,1158,1263.1,1359,1463.8
Services,33.6,32,29,24.6,22.2,23,24.3,26.2,28.5,28.3,29.3,30.7,33.6,38,43.6,48.1,52.4,58,62.4,67.5,70.3,75.2,83.6,90.5,97.9,103.8,110.9,119,126.7,134,144.5,154.2,162.7,173.6,183.9,198.4,213.3,230.3,247.7,272.2,299,327.9,357.8,394.3,432.9,478.6,539.2,601.4,673.6,758.7,847.5,950.9,1064.6,1172,1307.8,1428.6,1575.2,1690.7,1820,1992.7,2153,2317.7,2446,2634.3,2809.6,2974.4,3147.1,3326.9,3530.3,3768.8,3996.7,4314,4548.2,4750.1,5018.2,5329.9,5686.1,6037.6,6379.6,6686.9,6711.2,6942.4,7180.7,7409.6,7646.1,7987.9,8342.3,8693.8,9078.4,9520.2,9888.5,9493.1,10536.3,11514.7
    Household consumption expenditures (for services),32.3,30.7,27.8,23.6,21.3,22.1,23.4,25.3,27.5,27.3,28.3,29.6,32.5,36.7,42.1,46.5,50.6,56,60.3,65.2,67.9,72.8,81,87.6,94.9,100.6,107.5,115.2,122.7,129.7,139.7,149.1,157.4,168.1,178.1,191.9,206.3,222.8,239.6,263.4,289.5,317.5,346.1,381.5,419.2,463.1,522.2,582.4,653,735.7,821.4,920.8,1030.4,1134,1267.1,1383.3,1527.3,1638,1764.3,1929.4,2084.9,2241.8,2365.9,2546.4,2719.6,2876.6,3044.7,3216.9,3424.7,3645,3858.5,4156,4369.1,4551.8,4812.6,5123.6,5475.9,5798.4,6130.8,6399.6,6422,6648,6868.9,7068.1,7298.7,7634.6,7978.5,8305.5,8682,9099.3,9470.6,9008.6,10078.5,10982.6
        Housing and utilities,12.9,12.5,11.8,10.5,9.4,9.1,9.2,9.6,10.2,10.6,10.9,11.3,12.1,13,13.5,14.2,14.7,16.3,18.3,20.5,22.6,25.1,28.1,31.2,34.5,37.4,40,42.9,45.9,49.2,52.8,56.7,60.3,64.5,68.2,72.1,76.6,81.2,86.3,92.7,101,109.4,120,131.2,143.5,158.6,176.5,194.7,217.8,244.3,273.4,312.5,352.1,387.5,421.2,457.5,500.6,537,571.6,614.4,655.2,696.5,735.2,771.1,814.9,863.3,913.7,962.4,1009.8,1065.5,1123.1,1198.6,1287.5,1329.5,1391.1,1466.6,1580.1,1665.7,1759.6,1872.7,1900,1947.9,1983.3,2014.7,2085.7,2146,2196.1,2269,2350.2,2459.3,2554.9,2676,2831,3053.3
        Health care,2.3,2.2,2,1.7,1.5,1.6,1.7,1.9,2,2,2.1,2.2,2.3,2.6,2.8,3.2,3.4,4.3,5,5.8,6,6.4,6.9,7.6,8.4,9.3,9.9,10.9,12,13.4,14.8,16,17.1,19.1,21,24.1,26,28.7,31.9,36.6,42.1,47.7,53.7,59.8,67.2,76.1,89,101.8,115.7,131.2,148.8,171.7,201.9,225.2,253.1,276.5,302.2,330.2,366,410.1,451.2,506.2,555.8,612.8,648.8,680.5,719.9,752.1,790.9,832,863.6,918.4,996.6,1082.9,1154,1238.9,1320.5,1391.9,1478.2,1555.3,1632.7,1699.6,1757.1,1821.3,1863.8,1945.5,2059.8,2164.6,2245.3,2344.7,2469.1,2354.8,2630.5,2776.7
        Transportation services,2.4,2.1,1.8,1.4,1.3,1.5,1.5,1.7,1.8,1.7,1.8,1.9,2.2,2.6,3.2,3.5,3.8,4.7,4.9,5.2,5.3,5.4,6,6.3,6.8,6.8,7.1,7.6,8,8.1,8.7,9.2,9.6,10.1,10.6,11.4,12.1,13.1,14.3,15.9,18,20,22.4,24.5,26.1,28.5,32,36.2,41.4,45.2,50.7,55.4,59.8,61.7,68.9,80,90.1,95,103.1,114.2,121.8,126.4,123.7,133.6,145.7,161,176.4,192.7,211.8,225.2,241.3,261.3,259.8,251.9,259.6,271.2,283.9,297.1,307.6,312.7,297.4,305.2,328.4,341.1,360.1,382.7,393.5,411.1,429.4,456.4,480.7,358.7,459.6,562.2
        Recreation services,1.6,1.5,1.4,1.1,1,1.1,1.2,1.3,1.5,1.4,1.5,1.6,1.7,2,2.3,2.6,2.8,3.5,3.6,3.6,3.6,3.6,3.8,4,4.2,4.5,4.8,5.2,5.2,5.4,5.9,6.5,6.9,7.5,7.9,8.5,9,9.8,10.5,11.7,12.9,14,15.1,16.3,18.3,20.9,23.7,26.5,29.6,32.9,36.7,40.8,47.1,52.5,59.4,66.1,74,80.4,87.3,99.2,110.7,121.8,127.2,139.8,153.4,164.7,181.1,195.6,208.3,220.2,238.1,254.4,262.3,271.4,288.9,311.5,328.1,351.3,375.6,389.1,388.4,403.7,409,430.8,448.7,471.1,499.7,528.5,555.2,575.9,597.3,468.2,572.1,654.9
        Food services and accommodations,3.4,3.3,3,2.4,2.1,2.6,3,3.4,4,3.9,4.1,4.4,5.3,6.9,9.1,10.9,12.7,12.7,12.5,12.6,12.4,12.7,15,16,16.5,16.6,17,17.7,18.5,18.7,19.7,20.5,21,22.3,23.3,24.9,27.2,29.6,31,34.6,37.5,41.6,43.8,48.9,54.8,60.6,68.8,77.8,85.7,97.1,110.9,121.7,133.9,142.5,153.6,164.9,174.3,186.7,204.4,225.8,242.6,262.7,273.4,286.3,298.4,308.3,316.1,326.6,343.4,361.8,380.3,408.8,419.7,436.3,462.7,498.2,533.6,570.6,601.5,620.2,612.7,635.7,669.5,704.9,732.6,776.8,833.4,870.5,913.2,960.7,1006.7,823.9,1051.8,1237.2
        Financial services and insurance,2.9,2.6,2.2,1.9,1.9,1.8,2.1,2.2,2.4,2.3,2.3,2.4,2.5,2.6,2.8,3,3.2,3.7,4.1,4.6,4.8,5.4,6.2,6.6,7.5,8.3,9.2,10,10.6,11.2,12.1,13.2,14.3,14.8,15.5,17.2,18.8,20.6,22.1,25.2,27.7,30.1,33.1,37.1,39.9,44.1,51.8,56.8,65.1,76.7,83.6,91.7,98.5,113.7,141,150.8,178.2,187.7,189.5,202.9,222.3,230.8,250.1,277,314,327.9,347,372.1,408.9,446.1,484.6,541.9,529.3,539,574.2,619.3,676.8,719.5,762.7,777.5,720.5,768,811.1,830.9,870.8,925.6,976.8,996.1,1073.2,1130.9,1132.8,1148.9,1224.1,1252.5
        Other services,6.9,6.5,5.6,4.5,4,4.4,4.6,5.1,5.7,5.4,5.6,5.8,6.3,7.1,8.2,9.1,10,10.8,12,12.9,13.3,14.1,15.1,16,17.1,17.8,19.4,20.9,22.4,23.8,25.5,27.1,28.3,29.9,31.6,33.8,36.6,39.9,43.6,46.8,50.5,54.6,58.1,63.7,69.3,74.4,80.3,88.6,97.7,108.3,117.2,127.1,137.2,150.9,169.9,187.5,207.9,221.2,242.4,262.8,281.1,297.5,300.5,325.7,344.3,371,390.6,415.5,451.5,494.2,527.4,572.6,614,640.8,682.1,717.9,752.8,802.3,845.7,872.1,870.3,887.9,910.6,924.4,937,987,1019.3,1065.6,1115.4,1171.3,1229,1178,1309.3,1445.8
    Final consumption expenditures of nonprofit institutions serving households (NPISHs)1,1.3,1.3,1.2,1,0.9,0.9,0.9,0.9,1,1,1,1.1,1.1,1.3,1.5,1.7,1.7,2,2.1,2.3,2.3,2.4,2.6,2.9,3,3.2,3.4,3.8,4,4.3,4.9,5.1,5.2,5.5,5.8,6.4,7,7.5,8.1,8.8,9.4,10.5,11.7,12.8,13.8,15.5,17,19,20.6,23,26.1,30,34.1,38,40.8,45.4,47.9,52.6,55.7,63.3,68,75.9,80.1,87.9,90.1,97.8,102.3,110,105.6,123.8,138.2,158,179.1,198.3,205.5,206.4,210.3,239.2,248.8,287.3,289.2,294.4,311.9,341.5,347.4,353.3,363.8,388.3,396.4,420.9,417.9,484.5,457.8,532.1
        Gross output of nonprofit institutions2,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,13.9,14.8,15.8,16.9,18.3,20.3,22.1,24.3,27,30.3,34,38.1,42.8,47.4,51.8,58.8,67.2,76.3,85.2,96.7,109.4,126.1,145.7,163.8,179.2,194.4,209.3,227.3,246.9,275.5,301.2,334.4,362.9,396.4,418.7,440.1,458.5,483.1,502.6,542.5,576.3,621.6,676.4,737.1,774.6,819,868.5,932.2,983.1,1047.4,1088.3,1128.6,1173.5,1236.5,1272.6,1315.2,1377.5,1454.4,1501.2,1576.7,1637.7,1656.4,1763.8,1893
        Less: Receipts from sales of goods and services by nonprofit institutions3,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,9,9.8,10.5,11.5,12.6,13.8,15.1,16.9,18.9,21.6,24.6,27.6,31.1,34.5,38.1,43.3,50.2,57.3,64.5,73.6,83.2,96.1,111.5,125.8,138.5,149,161.4,174.7,191.2,212.2,233.2,258.6,282.8,308.5,328.7,342.3,356.2,373.1,397,418.7,438.1,463.6,497.4,538.7,569.1,612.6,658.2,693,734.4,760.1,799.1,834.2,861.7,895,925.2,962,1013.7,1066.1,1104.8,1155.8,1219.8,1171.9,1306,1360.9
    PCE excluding food and energy4,56.6,50.8,44.7,35.9,32.7,35.7,38.4,42.5,46,44.4,47.1,50.1,57,61.8,70.6,77.5,85.9,101.4,112.4,122.2,126.7,138.4,149,156.6,168.1,172.7,188.3,197.6,208.4,214,232.6,244.4,253.1,272.1,289.3,313,338.5,367.1,390,431.8,469.3,501.7,548.5,605.8,668.5,719.7,797.3,894.7,998.6,1122.4,1239.7,1353.1,1501.5,1622.9,1817.2,2008.1,2210.3,2391.3,2566.6,2793.1,3002.1,3194.9,3314.4,3561.7,3796.6,4042.5,4267.2,4513,4787.8,5132.4,5495.9,5904.5,6182.2,6460.4,6784.4,7198.5,7627.2,8056.6,8453.5,8666.3,8616.1,8915.3,9246.6,9571.6,9876.2,10321,10811,11249.4,11730.3,12278,12741.8,12509.3,14109.5,15294.2
"    PCE excluding food, energy, and housing4",45.1,39.8,34.4,26.9,24.8,28.1,30.7,34.4,37.4,35.4,37.9,40.6,46.9,50.9,59.2,65.5,73.5,87.6,96.9,104.8,107.6,117.3,125.3,130.3,138.9,141.2,154.8,161.8,170,173,188.6,197.5,203.2,218.7,232.9,253.3,274.8,299.6,318.1,354.5,385.1,410.7,448.7,497.1,549.5,589.6,654.9,738.7,825.3,927.9,1021.7,1106.5,1223.6,1319.9,1490,1650.5,1815.7,1960.8,2105.1,2295.8,2471,2624.2,2712.9,2927.3,3130.2,3333,3511.1,3717.6,3948.6,4238.2,4547.3,4894,5096.7,5331.1,5610.3,5958.7,6298.2,6657.1,6972.2,7089.6,7006.3,7267.2,7563.6,7849.2,8097.9,8497.7,8932,9296.3,9707,10169.9,10538.1,10185.3,11651.2,12675.7
    Energy goods and services5,4.6,4.5,4.1,3.8,3.8,4.1,4.2,4.6,4.9,4.8,5,5.3,5.9,5.6,5,5.2,5.9,7.9,9.3,10.9,11.3,12.2,13.4,14.3,15.4,16.4,17.9,19.4,20.8,21.8,23,24.2,24.6,25.8,26.8,28.1,30.1,32.2,34.1,36.2,39,41.5,44.3,47.8,54.4,67.5,76.7,85.6,95.6,103.7,127.4,158.4,177.1,181.2,187.3,193.1,199.5,178.6,185.4,194.1,209.3,223,226.1,231.4,241.9,246.4,251.7,269.7,274.2,257.4,272.4,322.1,327.6,313.5,356.8,400.8,473.6,520.4,555.7,614.7,502.2,558.1,632.7,629.6,641.5,643,544.4,507.8,549.9,612,593.9,500.4,645.8,824.1
    PCE services excluding energy and housing,21,19.8,17.5,14.4,13.1,14.2,15.4,16.9,18.6,18,18.7,19.7,21.9,25.4,30.4,34.3,38.1,42.1,44.6,47.5,48.2,50.7,56.1,60.1,64.2,67.3,71.8,77.1,81.8,85.9,92.9,98.8,103.8,110.7,117.5,128.2,138.7,151.2,163.6,181.9,200.7,221.7,241.4,267.2,293.9,325,368.1,412.7,462.5,521.9,582.5,647.8,723,796.1,899.7,986.1,1091.6,1172.8,1269.5,1401.1,1523,1648.3,1739.6,1893.5,2028.2,2147.8,2272.7,2406.6,2564.5,2749.6,2922.3,3165.9,3313.1,3475.2,3683.7,3922,4167.3,4437.4,4688,4886.5,4886.2,5073,5278.9,5479.6,5647.9,5932.4,6237.6,6519.8,6829.3,7166.7,7443.4,6927.1,7817.9,8582.3
    Housing,11.4,11,10.2,9,7.9,7.6,7.7,8,8.5,8.9,9.1,9.4,10.2,10.9,11.4,12,12.4,13.7,15.4,17.3,19.1,21.1,23.7,26.3,29.1,31.5,33.6,35.8,38.3,41,44,47,50,53.4,56.5,59.8,63.6,67.5,71.9,77.3,84.2,91,99.7,108.7,119,130,142.4,156,173.4,194.5,218,246.6,277.9,303,327.2,357.7,394.6,430.5,461.5,497.3,531,570.6,601.5,634.5,666.4,709.5,756.1,795.4,839.2,894.2,948.6,1010.5,1085.5,1129.3,1174.1,1239.8,1329,1399.5,1481.4,1576.7,1609.8,1648.1,1683,1722.4,1778.3,1823.3,1879.1,1953.2,2023.3,2108.2,2203.7,2324,2458.3,2618.4
    Market-based PCE6,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,2783.2,3012.2,3237.6,3453.8,3572.1,3794,4004,4232.8,4448.2,4695.4,4949.2,5231.7,5590.5,5997.2,6266.6,6501.9,6837,7265.8,7731.8,8153.4,8569.5,8824.7,8718.6,9028.4,9401.5,9693,9995.3,10403,10743.8,11104.7,11555,12084.3,12553.5,12295.7,13986.3,15294.8
    Market-based PCE excluding food and energy6,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,2274.3,2476.1,2663.6,2840.3,2943.7,3158.7,3349.1,3554.8,3753.3,3964.3,4200.6,4487.2,4802.9,5134.8,5375.3,5613.6,5880.9,6232.7,6590.4,6933.2,7276.8,7441.3,7443.8,7683.8,7949.6,8217.7,8483.8,8850.1,9258,9627.8,9995.1,10428.3,10878.1,10599.3,12053.4,13077.9
Wages and salaries,50.5,46.2,39.2,30.5,29,33.7,36.7,42,46.1,43,46,49.9,62.1,82.1,105.8,116.7,117.5,112,123.1,135.6,134.7,147.3,171.6,185.6,199,197.3,212.2,229,240,241.3,259.8,272.9,280.5,299.4,314.9,337.8,363.8,400.3,429,472,518.3,551.6,584.5,638.8,708.8,772.3,814.8,899.7,994.2,"1,120.60","1,253.30","1,373.40","1,511.40","1,587.50","1,677.50","1,844.90","1,982.60","2,102.30","2,256.30","2,439.80","2,583.10","2,741.20","2,814.50","2,965.50","3,079.30","3,236.60","3,418.00","3,616.50","3,876.80","4,181.60","4,457.90","4,824.90","4,953.60","4,995.80","5,138.30","5,421.00","5,691.40","6,056.70","6,396.40","6,534.10","6,249.10","6,372.50","6,626.20","6,928.10","7,114.00","7,476.30","7,859.50","8,091.20","8,474.40","8,899.80","9,325.00","9,464.60","10,312.60","11,116.00"
